Major,Year,Eth,X1st.gen,sex,format,EPICS,WB_1,WB_2,WB_3,H_1,H_2,H_3,PA_1,PA_2,PA_3,PA_4,PA_5,ACA,Big6_1,Big6_2,Big6_3,Big6_4,Big6_5,Big6_6,PSN,PSV,BRS_1,BRS_2,BRS_3,BRS_4,BRS_5,BRS_6,GRO_1,GRO_2,GRO_3,IMP_1,IMP_2,IMP_3,IMP_4,IMP_5,IMP_6,NET_1,NET_2,NET_3,NET_4,NET_5,NET_6,NET_7,NET_8,LSE_1,LSE_2,LSE_3,LSE_4,LSE_5,LSE_6,LSE_7,LSE_8,LSE_9,LSE_10,LSE_11,LSE_12,PER_1,PER_2,PER_3,OPP_1,OPP_2,OPP_3,OPP_4
4,3,5,2,2,1,2,5,4,5,4,4,3,5,1,2,5,1,"6,8",5,5,5,5,5,5,6,6,5,1,5,1,5,1,1,1,1,5,5,1,4,5,5,5,4,4,5,5,5,1,5,93,92,94,94,93,82,93,82,93,93,91,91,4,4,4,4,2,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,"3,4,5,6",1,1,2,2,5,5,5,4,4,2,,,5,4,,"2,4,5,9",4,,3,,,3,5,5,3,3,4,3,3,3,6,5,6,4,3,4,4,4,3,5,5,4,5,5,4,5,5,75,56,50,27,43,32,80,46,17,84,54,60,4,3,3,1,1,1,1
12,3,5,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6,18",3,"5,6",1,1,1,2,2,2,2,2,1,1,2,5,5,2,5,"1,3,4,6,11",4,3,2,3,1,4,3,1,4,3,4,2,4,2,5,2,2,4,2,2,2,2,4,4,4,4,4,4,3,4,4,17,18,13,22,12,32,17,,11,12,13,15,3,4,4,4,3,4,3
11,1,5,2,2,1,1,4,2,4,4,2,3,4,3,4,4,4,"3,4,10,11",4,2,2,4,2,2,2,4,3,2,3,3,4,3,4,2,2,4,2,2,2,4,4,4,4,4,2,4,4,4,4,61,61,51,75,92,88,75,50,56,50,70,50,3,4,3,3,2,5,5
4,2,"1,6",2,2,1,2,4,2,4,2,1,1,3,4,5,2,4,"1,2,3,4,10",4,4,4,4,2,4,3,5,3,4,3,3,3,3,2,2,2,4,3,2,4,4,3,4,4,4,4,4,4,3,4,84,82,79,80,84,82,78,82,69,83,81,82,3,3,3,3,5,3,3
12,3,5,2,2,1,2,2,1,1,1,1,1,3,5,5,2,5,"1,2,3,4,6,11",1,1,1,1,3,1,2,3,1,5,1,5,1,1,2,3,3,1,1,3,2,1,2,2,3,2,2,1,4,5,1,,4,0,0,10,6,6,10,4,0,6,,2,3,3,2,1,2,3
1,2,5,2,2,1,1,1,1,1,2,1,1,2,3,5,2,5,"1,3,4,6,8,11",2,1,4,4,1,5,3,2,1,5,1,5,1,5,2,2,2,4,1,5,1,1,1,1,4,4,4,2,1,5,5,17,14,17,14,5,16,16,13,16,10,13,17,3,4,4,2,1,4,4
14,2,5,2,2,1,2,4,2,3,4,3,2,3,3,5,4,5,"3,4,6,7,10,11",5,5,4,4,4,4,2,,,,,,,,,,,3,2,3,4,4,4,5,4,5,2,3,4,4,5,,,,,,,,,,,,55,4,4,4,4,4,4,4
11,1,5,1,1,1,2,3,1,4,2,1,1,3,5,4,3,5,"1,3,4,7,8",4,3,2,2,2,4,2,4,4,3,4,2,4,2,4,4,4,3,3,3,2,2,5,5,2,2,3,2,4,4,5,29,15,18,23,80,85,100,49,47,46,44,18,4,4,4,3,3,3,3
6,3,2,1,1,1,2,3,2,3,2,2,2,2,4,5,2,4,"2,3,4,6,7,11",5,3,2,3,3,1,2,4,3,3,2,3,4,4,3,3,3,2,2,3,3,4,5,4,3,4,3,4,5,4,4,81,81,83,80,79,83,79,80,80,79,84,78,3,4,3,2,3,3,3
2,4,5,2,1,1,2,1,1,1,1,1,1,1,5,5,1,5,"1,2,3,4,5,6,11",1,1,1,1,5,1,6,1,5,1,5,1,5,1,3,1,1,1,1,5,1,1,1,1,1,3,1,1,3,1,1,,,,,,,,,,,,,4,4,4,1,1,1,1
11,1,5,2,2,1,2,2,4,3,2,2,2,3,5,5,4,5,"1,2,3,4,6,8,9,10",2,3,2,2,2,4,3,4,4,2,4,2,4,3,2,2,2,4,4,3,3,3,4,4,4,4,4,4,4,4,4,50,69,66,50,51,50,69,70,69,69,56,29,4,4,3,3,3,2,3
5,2,5,2,2,1,2,5,2,4,3,3,1,3,2,5,3,4,"3,6,7,9",3,3,4,1,5,4,4,4,4,4,1,3,2,3,2,4,2,4,2,3,4,4,4,4,3,4,2,2,4,5,3,97,72,97,49,95,89,84,50,16,93,95,57,4,4,3,5,4,4,5
18,3,5,2,2,1,2,2,1,3,2,5,2,3,5,5,3,5,"3,7,8",4,3,4,5,4,4,4,4,3,4,3,4,2,2,3,2,2,4,3,3,3,2,4,4,4,4,4,4,4,4,3,61,66,61,66,67,40,49,24,66,50,58,64,3,3,3,3,3,3,3
18,2,2,2,2,1,2,2,2,4,3,1,1,2,5,5,3,5,"1,2,3,4,8,9,10,11",4,4,4,4,1,2,3,4,4,4,3,2,4,2,2,2,3,3,2,2,2,2,2,2,5,4,4,3,3,5,3,85,77,80,80,61,56,56,79,60,76,57,59,4,4,4,3,3,3,2
6,4,5,2,1,1,2,3,2,4,2,1,1,4,3,5,3,4,"1,2,3,4,6,7,8,9,10",5,3,4,2,4,2,2,2,2,2,4,3,4,2,2,2,2,2,2,2,2,3,2,2,2,3,1,4,5,2,3,39,81,51,28,65,68,30,27,62,72,50,28,3,3,3,3,3,2,2
11,1,5,2,1,1,2,1,1,3,1,2,2,2,5,5,2,5,"1,3,4,6,7,10,11",1,1,1,4,1,2,2,3,1,5,2,4,1,4,1,1,1,1,1,5,2,2,3,2,3,3,1,3,3,5,3,70,71,43,85,45,49,78,77,87,58,66,68,3,4,4,1,1,2,5
4,2,2,2,2,1,2,1,2,5,1,1,3,2,5,5,3,5,"2,3,4,9,10,11",5,5,5,5,1,5,6,6,5,5,1,1,2,5,1,1,1,2,5,5,2,5,5,1,5,5,5,5,2,5,1,100,74,51,50,27,50,54,51,9,74,51,40,4,4,4,3,1,4,3
11,1,5,2,2,1,2,2,1,2,3,2,2,3,4,5,3,5,"3,4,6,7,9",2,3,2,2,3,4,3,4,4,3,2,2,2,2,3,3,3,3,4,2,3,4,4,2,4,4,4,2,2,4,3,88,88,92,90,94,93,99,91,92,83,95,94,4,3,3,3,2,3,3
15,4,5,2,1,1,2,2,3,3,2,2,2,3,4,3,2,2,"1,2,3,4,5,11",4,4,4,4,5,2,4,5,2,5,2,4,3,4,4,4,5,4,3,2,1,4,4,3,4,2,4,4,2,2,4,43,69,41,33,55,35,57,38,71,87,23,18,3,4,3,2,2,3,3
1,4,5,2,1,1,2,1,4,4,2,3,2,2,3,5,3,5,"3,4",5,5,4,1,1,3,1,1,2,4,2,4,2,4,3,3,3,2,2,2,1,2,5,4,3,3,2,4,4,2,3,16,25,16,9,44,36,38,26,19,45,44,20,2,2,3,4,3,3,3
11,1,5,2,1,1,2,4,1,4,5,3,3,4,4,5,3,5,11,3,2,5,3,3,4,5,4,5,4,5,1,2,1,4,4,4,5,3,1,3,5,5,5,2,2,2,4,4,4,4,75,64,72,75,71,81,77,66,73,68,72,76,4,4,3,3,2,4,3
7,4,3,2,1,2,2,3,1,5,2,2,1,1,5,5,2,5,"1,2,3,4,6,11",4,3,5,2,5,5,4,3,5,2,4,3,5,2,3,4,4,3,1,4,4,4,2,4,4,4,4,3,2,5,2,92,100,100,100,76,56,100,55,54,100,53,30,4,4,4,3,2,3,3
11,1,5,2,1,1,2,3,4,4,2,2,1,3,3,4,3,3,"3,4,10",4,4,2,2,2,3,2,2,5,4,4,2,4,2,2,2,2,4,4,2,3,4,4,4,4,3,4,4,4,3,4,70,70,70,100,70,70,85,100,70,70,60,40,3,4,4,3,3,3,3
11,1,5,1,2,1,2,4,2,1,4,1,1,3,4,5,5,5,"1,2,3,4,6,7,10",2,3,5,4,5,5,6,6,3,2,4,2,4,2,5,5,4,5,2,5,5,5,2,4,5,4,5,4,4,4,2,89,100,100,70,27,21,50,79,74,62,100,4,4,4,4,3,2,3,3
15,3,5,2,1,1,2,1,1,3,1,1,2,2,4,5,2,5,"1,2,3,4,6,8,10,11",4,2,2,4,2,2,1,4,2,4,2,4,1,5,5,5,4,1,1,4,1,1,1,2,2,4,3,2,4,5,3,,,,,0,0,,,,,,0,4,4,3,3,2,2,1
1,3,5,2,1,1,2,2,3,4,1,2,1,2,4,4,2,4,3,2,3,2,4,1,2,1,1,2,4,1,4,2,4,5,5,5,2,3,2,2,2,4,4,2,3,1,4,5,4,3,25,50,40,100,51,74,24,50,50,77,75,50,3,4,2,3,2,2,2
