StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Year,sex,latinx,Eth,1st-gen,i18n,Major,EPICS,WB_1,WB_2,WB_3,H_1,H_2,H_3,PA_1,PA_2,PA_3,PA_4,PA_5,ACA,Big6_1,Big6_2,Big6_3,Big6_4,Big6_5,Big6_6,PSN,PSV,IMP_1,IMP_2,IMP_3,IMP_4,IMP_5,IMP_6,NET_1,NET_2,NET_3,NET_4,NET_5,NET_6,NET_7,NET_8,NET_9,LSE_1,LSE_2,LSE_3,LSE_4,LSE_5,LSE_6,PER_1,PER_2,OPP_1,OPP_2,OPP_3,OPP_4,return_1,return_2,return_3,return_4,return_5,return_6,pandemic,Q1,Q2,Q3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your year in school?,What is your gender?,Are you Hispanic or Latino/a?,What is your race? (mark all that apply),Are you a first generation student?,Are you an international student?,What is/are your major(s)?,Are you currently participating in EPICS?,Please indicate your level of agreement with the following statements: - I am satisfied with my life.,Please indicate your level of agreement with the following statements: - Purdue provides support for my mental health.,Please indicate your level of agreement with the following statements: - Purdue provides support for my physical health.,Please rate your health: - Would you say that in general your health is:,Please rate your health: - Would you say your sleep in the past 2 weeks is:,Please rate your health: - Would you say your diet in the past 2 weeks is:,"Please think about how you have felt in the past two weeks on average, and indicate how frequently you have experienced each of the following feelings: - I felt happy","Please think about how you have felt in the past two weeks on average, and indicate how frequently you have experienced each of the following feelings: - I felt depressed","Please think about how you have felt in the past two weeks on average, and indicate how frequently you have experienced each of the following feelings: - I felt stressed","Please think about how you have felt in the past two weeks on average, and indicate how frequently you have experienced each of the following feelings: - I felt grateful","Please think about how you have felt in the past two weeks on average, and indicate how frequently you have experienced each of the following feelings: - I felt anxious",Have any of the following negatively affected your academics? (mark all that apply),Please indicate your level of agreement with the following statements: - I have at least one professor at Purdue University who makes me excited about learning.,Please indicate your level of agreement with the following statements: - My professors at Purdue University care about me as a person.,Please indicate your level of agreement with the following statements: - I have a mentor who encourages me to pursue my goals and dreams.,Please indicate your level of agreement with the following statements: - I have worked on a project that took a semester or more to complete.,Please indicate your level of agreement with the following statements: - I have had an internship or job that allowed me to apply what I was learning in the classroom.,Please indicate your level of agreement with the following statements: - I have been extremely active in extracurricular activities and organizations at Purdue University.,Here are some descriptions regarding the six different stages of passion. Please read through the statements carefully and rate the stage you are currently at.,Here are some descriptions regarding the six different stages of perseverance. Please read through the statements carefully and rate the stage you are currently at.,Please indicate your level of agreement with the following statements: - I get fully absorbed in activities I do.,Please indicate your level of agreement with the following statements: - I get to do what I am good at everyday.,Please indicate your level of agreement with the following statements: - Other people decide what I can and cannot do.,Please indicate your level of agreement with the following statements: - My life has a clear sense of purpose.,Please indicate your level of agreement with the following statements: - I am optimistic about my future.,Please indicate your level of agreement with the following statements: - My major at Purdue challenges me to do my best work.,Please indicate your level of agreement with the following statements: - There are people I can depend on to help me.,Please indicate your level of agreement with the following statements: - I pitch in to help when my local community needs something done.,Please indicate your level of agreement with the following statements: - I actively  look for ways to help others in need.,"Please indicate your level of agreement with the following statements: - I frequently engage in charitable giving (time, money, or effort).",Please indicate your level of agreement with the following statements: - I can trust faculty and staff  at Purdue University.,Please indicate your level of agreement with the following statements: - I am treated with the same amount of respect as others at Purdue University.,Please indicate your level of agreement with the following statements: - I feel lonely.,Please indicate your level of agreement with the following statements: - I feel a sense of belonging at Purdue University.,Please indicate your level of agreement with the following statements: - I feel like an outsider at Purdue University.,"Please rate your confidence level on the 100-point probability scale. For example, 0% reflects not at all confident, 50% reflects an intermediate level of confidence, and 100% means completely confident.
Note that “team” may refer to any group experience you've had at Purdue. - I can figure out the best direction for our team to go.","Please rate your confidence level on the 100-point probability scale. For example, 0% reflects not at all confident, 50% reflects an intermediate level of confidence, and 100% means completely confident.
Note that “team” may refer to any group experience you've had at Purdue. - I can identify the most critical areas for making meaningful improvements to my team's effectiveness.","Please rate your confidence level on the 100-point probability scale. For example, 0% reflects not at all confident, 50% reflects an intermediate level of confidence, and 100% means completely confident.
Note that “team” may refer to any group experience you've had at Purdue. - I can develop plans for change that will take my team in important new directions.","Please rate your confidence level on the 100-point probability scale. For example, 0% reflects not at all confident, 50% reflects an intermediate level of confidence, and 100% means completely confident.
Note that “team” may refer to any group experience you've had at Purdue. - I see the path my team needs to take in order to significantly improve our effectiveness.","Please rate your confidence level on the 100-point probability scale. For example, 0% reflects not at all confident, 50% reflects an intermediate level of confidence, and 100% means completely confident.
Note that “team” may refer to any group experience you've had at Purdue. - I can develop trusting relationships with my teammates so that they will embrace change goals with me.","Please rate your confidence level on the 100-point probability scale. For example, 0% reflects not at all confident, 50% reflects an intermediate level of confidence, and 100% means completely confident.
Note that “team” may refer to any group experience you've had at Purdue. - I can obtain the genuine support of my teammates for new initiatives.",Please indicate your level of agreement with the following statements: - Others at Purdue are willing to listen to people whose opinions are different.,Please indicate your level of agreement with the following statements: - Others at Purdue are considerate toward people who express views that conflict with theirs.,Please indicate your level of agreement with the following statements: - Purdue provides a wide variety of ways to develop my leadership skills.,Please indicate your level of agreement with the following statements: - Purdue is committed to helping students reflect on their abilities.,Please indicate your level of agreement with the following statements: - Being involved in Purdue-related activities/organizations has helped further my learning.,Please indicate your level of agreement with the following statements: - Being involved in Purdue-related activities/organizations has made me more confident in my interpersonal skills.,"Please indicate your level of agreement with the following statements: - Since returning to campus, I am able to learn more effectively.","Please indicate your level of agreement with the following statements: - Since returning to campus, I have fewer distractions and issues that negatively impact my student experience.","Please indicate your level of agreement with the following statements: - Since returning to campus, I feel less lonely.","Please indicate your level of agreement with the following statements: - Since returning to campus, I feel more connected to my professors.","Please indicate your level of agreement with the following statements: - Since returning to campus, I feel more connected to my peers.","Please indicate your level of agreement with the following statements: - Since returning to campus, my sense of belonging at Purdue University has increased.","What teaching and learning practices and policies that were put in place for the pandemic would you like to see continue, if any?",Are there ways Purdue Engineering has helped your personal well-being?,Are there ways Purdue Student Organizations have helped your personal well-being?,What changes do you recommend Purdue Engineering can make to improve student well-being?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID18""}","{""ImportId"":""QID21""}","{""ImportId"":""QID36""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID39""}","{""ImportId"":""QID17""}","{""ImportId"":""QID23""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID25_4""}","{""ImportId"":""QID25_5""}","{""ImportId"":""QID25_6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID26""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID29_6""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID7_8""}","{""ImportId"":""QID7_9""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID31_4""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID37_5""}","{""ImportId"":""QID37_6""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33_TEXT""}"
2021-10-29 06:09:15,2021-10-29 06:13:14,0,69.174.156.119,100,239,1,2021-10-29 06:13:14,R_3sno66bi0hvnc6k,,,,,40.44439697265625,-86.92559814453125,anonymous,EN,4,1,2,2,2,1,15,2,3,2,4,3,2,4,3,2,4,4,4,4,5,4,1,5,5,2,4,5,4,4,2,2,2,4,4,5,4,4,5,4,5,4,2,59,83,85,59,78,98,4,4,4,4,4,4,4,2,4,5,5,4,,,,
2021-10-29 06:08:02,2021-10-29 06:15:03,0,128.211.185.212,100,421,1,2021-10-29 06:15:04,R_2wiSAT8sZfzqkXj,,,,,40.44439697265625,-86.92559814453125,anonymous,EN,1,1,2,5,2,3,11,2,3,3,3,3,3,3,3,2,4,2,2,8,4,4,4,3,3,2,5,4,4,3,2,2,4,4,4,2,4,2,4,4,2,5,2,67,69,64,60,65,70,4,4,4,4,3,4,,,,,,,,,,Consider give more credit for ENGR 131 because we spend 4 hours in the class room and many outside the classroom
2021-10-29 06:11:32,2021-10-29 06:20:42,0,98.223.109.91,100,549,1,2021-10-29 06:20:42,R_DAHlf2FmevFJ6zn,,,,,40.44439697265625,-86.92559814453125,anonymous,EN,3,1,2,5,2,3,1,2,4,4,4,4,3,3,3,3,4,3,3,"3,4,6,9",4,4,4,4,4,2,3,5,4,4,2,4,4,5,4,4,3,3,4,5,4,5,2,90,82,90,90,90,95,4,4,4,4,4,4,5,5,4,5,5,5,"Recording of lectures to post online. It is helpful for times when students need to miss class for the day (sick, career fair, etc.)",N/A,N/A,N/A
2021-10-29 06:09:34,2021-10-29 06:22:51,0,128.211.246.161,100,796,1,2021-10-29 06:22:51,R_28TgPP8jNWAWGku,,,,,40.44439697265625,-86.92559814453125,anonymous,EN,2,1,2,5,1,3,16,2,3,1,2,2,1,3,3,3,5,3,5,"3,4,10",4,3,1,4,2,3,3,1,4,1,4,4,4,3,2,2,2,3,4,5,5,5,3,70,60,80,71,70,75,4,4,3,2,4,4,5,4,4,3,4,3,"Make up materials being put online (e.g. lecture recordings, notes, etc.)","Barely. I have been in activities related to Purdue Engineering which have been fun, but they have usually been just short distractions rather than actually satisfying, impactful experiences.","To an extent. I've been involved in some extra/cocurricular activities, which has been a better experience than doing nothing at all but I am not very satisfied with them.","Helping students do things related to their professional interests, have the professors have more of a connection with their students. "
2021-10-29 06:12:53,2021-10-29 06:23:07,0,69.174.156.123,100,613,1,2021-10-29 06:23:08,R_2zjtw7bnPwRjxp4,,,,,40.44439697265625,-86.92559814453125,anonymous,EN,1,2,2,5,1,3,11,2,3,2,2,2,1,2,3,3,5,3,5,"3,4,6,11",1,1,1,5,2,3,5,5,3,1,4,4,5,4,2,4,4,4,2,4,2,4,3,63,40,64,60,48,58,4,4,4,3,3,4,,,,,,,,No,Going to my club meetings makes me happy but too often I have so much homework that I feel I cannot attend.,Change the way tests are made. Some classes I am in I try my hardest and I do good on the homework and quizzes but the tests are just awful. It causes me a lot of stress and is making me struggle in many ways.
2021-10-29 06:16:34,2021-10-29 06:25:47,0,128.211.185.214,100,552,1,2021-10-29 06:25:47,R_sSj7NVzRU9mQj05,,,,,40.44439697265625,-86.92559814453125,anonymous,EN,1,1,2,5,2,3,11,2,4,3,5,3,2,3,4,1,4,4,3,,4,4,3,3,3,5,3,6,4,5,2,5,5,3,4,4,4,3,3,5,1,5,1,90,100,100,95,100,100,2,2,5,4,4,5,,,,,,,,,,
2021-10-29 06:12:57,2021-10-29 06:26:35,0,128.210.106.57,100,818,1,2021-10-29 06:26:36,R_3LX7bEAeDn2kYPd,,,,,40.44439697265625,-86.92559814453125,anonymous,EN,1,1,2,5,2,3,11,2,4,4,4,2,2,2,2,3,5,3,3,"2,3,4,6,9,10",2,3,2,2,2,5,6,6,4,2,4,5,5,4,4,4,4,3,4,4,3,4,2,90,90,90,90,80,75,2,3,5,5,5,3,,,,,,,,I highly appreciate the different resources available to students both in and out of the classroom. I especially find Chemistry very satisfying.,"The clubs that I am in are very interesting, and I enjoy constantly being in a learning environment where I can research information and work as a team to accomplish amazing things.","Almost everyone I know, myself included, does not get more than 6 hours of sleep, and I think that a lack of sleep is generally an underlooked threat to mental and physical health."
2021-10-29 06:24:01,2021-10-29 06:32:46,0,128.211.185.211,100,524,1,2021-10-29 06:32:46,R_1jH8fS3NYWIvIvy,,,,,40.44439697265625,-86.92559814453125,anonymous,EN,1,1,2,5,2,3,11,2,3,3,4,3,3,3,3,3,4,2,4,,4,2,3,2,2,1,2,4,2,2,2,2,3,3,3,3,3,1,3,4,4,3,3,85,85,85,83,84,80,4,4,3,3,3,3,,,,,,,,No,"I’m not involved in any organizations. ","Have smaller classes with teachers that care about the students and their education. "
2021-10-29 06:25:41,2021-10-29 06:33:29,0,73.103.87.191,100,467,1,2021-10-29 06:33:29,R_1IH0cyG68dpBfWi,,,,,40.44439697265625,-86.92559814453125,anonymous,EN,4,2,2,5,2,3,3,2,3,3,3,2,2,1,2,4,5,1,4,"3,4,6,7,11",4,3,2,5,5,2,2,4,4,3,3,2,3,3,4,3,4,2,4,4,4,4,2,65,75,75,74,76,73,4,4,4,4,4,4,5,4,3,4,5,4,Increased access to virtual lectures to allow for rewatching lectures or watching missed lectures,N/A,They have given me an escape from stressing over my classes.,"Ensure professors are fit to teach, and they express sincere concern for student well-being."
2021-10-29 06:31:57,2021-10-29 06:35:45,0,128.46.142.50,100,227,1,2021-10-29 06:35:45,R_xbZ0vnpBgRbfh8B,,,,,40.44439697265625,-86.92559814453125,anonymous,EN,6,1,2,5,2,1,1,2,2,1,1,2,1,1,3,5,5,3,5,"1,2,3,4,7,9,10,11",4,4,4,5,3,1,2,5,5,4,4,2,1,3,1,4,3,4,2,4,5,2,5,80,41,80,30,40,70,1,2,4,2,3,3,,,,,,,,,,
2021-10-29 06:30:24,2021-10-29 06:36:46,0,128.211.185.210,100,381,1,2021-10-29 06:36:46,R_2SjMzgcOBLOBNrW,,,,,40.44439697265625,-86.92559814453125,anonymous,EN,1,2,2,5,2,3,11,2,2,3,4,2,1,3,3,3,5,4,5,"3,4",5,4,2,2,2,5,3,5,5,4,3,2,2,4,5,4,4,4,4,4,3,4,3,80,80,60,75,50,40,4,4,5,4,3,4,,,,,,,,No,No,Have a little less group work in engineering classes or organize a system to help groups that contain students that are not willing to work.
