SWB_1_1,SWB_2_1,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,POS_1,POS_2,POS_3,POS_4,POS_5,Network_1,Network_2,Network_3,Network_4,Network_5,Network_6,Network_7,Network_8,Network_9,SEC_1,SEC_2,SEC_3,SEC_4,SEC_5,SEC_6,SEC_7,SEC_8,CIVIC_1,CIVIC_2,CIVIC_3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,3,2,2,5,5,4,3,2,4,4,4,5,5,4,4,4,2,3,4,,,,,,,,,4,4,4
3,4,3,3,2,4,2,3,2,3,4,5,4,4,4,4,4,4,4,5,5,95,80,80,95,90,80,95,95,3,3,4
2,3,3,3,4,5,3,4,4,2,2,2,5,4,4,4,4,4,4,4,4,,,,,,,,,4,3,3
4,3,3,3,2,4,4,4,3,2,4,4,4,4,4,3,5,4,3,4,4,,,,,,,,,1,1,1
5,4,4,2,2,5,5,4,4,2,3,5,5,5,4,4,3,4,2,5,4,80,70,80,80,90,90,70,60,3,3,3
2,2,4,4,4,5,1,2,1,3,4,3,2,2,4,2,4,5,4,4,3,70,52,60,30,30,25,70,40,4,4,4
4,2,2,4,4,5,3,4,3,3,4,4,4,5,5,5,3,4,4,2,2,,,,,,,,,4,4,4
3,3,3,4,4,5,4,4,3,4,2,4,5,4,5,2,3,3,1,5,5,,,,,,,,,4,4,4
4,3,4,3,3,4,4,4,4,1,4,4,4,5,4,4,4,5,4,5,5,86,72,82,100,100,100,100,100,3,3,3
3,3,3,3,1,5,5,4,3,1,2,4,5,5,3,3,5,4,3,5,5,89,89,80,100,62,36,59,37,3,2,4
4,3,4,3,1,4,3,5,3,2,3,5,5,4,4,4,4,5,2,5,5,63,51,47,68,88,93,76,71,4,4,4
4,3,4,3,2,4,4,4,4,3,3,4,5,4,4,4,4,4,1,4,4,90,72,78,50,,70,80,63,3,3,3
2,2,3,2,4,5,4,4,2,2,2,3,4,5,4,4,4,4,4,5,4,75,78,79,60,88,73,84,93,4,4,4
3,2,3,4,2,5,5,4,4,2,3,4,5,5,5,3,4,4,4,5,5,85,85,100,72,94,79,83,93,4,4,4
4,3,3,3,1,4,3,4,3,3,2,4,5,5,4,2,4,4,3,5,5,80,75,100,50,100,100,100,90,4,4,4
4,3,3,3,3,3,4,4,4,2,1,5,5,4,4,2,4,5,4,4,4,,,,,,,,,4,4,4
5,4,4,3,1,3,3,4,4,3,4,4,5,4,3,4,5,5,2,4,5,,,,,,,,,4,4,4
1,5,4,3,2,3,5,5,4,3,5,5,5,5,5,5,3,4,2,4,4,90,100,100,100,100,80,100,100,4,4,4
4,4,3,3,2,4,5,4,2,2,2,5,5,5,4,4,4,4,4,5,5,,,,,,,,,4,3,4
4,4,4,3,2,3,4,4,4,1,4,5,5,3,2,2,3,4,1,5,4,,,,,,,,,4,4,4
3,3,2,4,4,4,3,1,2,3,3,2,5,5,3,3,3,5,5,2,2,100,100,97,50,90,76,70,70,4,4,4
